SECTOR, RUN, IB0, IB1, IB2, IB3, IB4, IB5
1, 13203, 26.973588, 32.047796, 37.372270, 38.362021, 46.055638, 43.320233
2, 13279, 47.150793, 37.616908, 43.840779, 28.431846, 50.993927, 32.242708
3, 13290, 34.575066, 47.327801, 31.088396, 29.092320, 26.527065, 34.791382
4, 13394, 26.556530, 30.979755, 35.490371, 33.576653, 34.670073, 43.760040
5, 13537, 45.832276, 36.612469, 31.054076, 43.583088, 48.285514, 50.167403
6, 13606, 20.989651, 43.025778, 38.840129, 51.633882, 40.580987, 45.661802
7, 13646, 45.648092, 23.023339, 35.840671, 41.198447, 34.990994, 54.286112
8, 13732, 38.681664, 40.227485, 32.046919, 43.839760, 32.353214, 40.370682
9, 13827, 83.614107, 53.392995, 41.409891, 41.604737, 46.535887, 50.753255
10, 16758, 60.836672, 57.296547, 39.081009, 49.962078, 50.696899, 37.730790
11, 13997, 39.358024, 23.920973, 37.584399, 51.251781, 62.693983, 38.808891
12, 15228, 43.094685, 23.946944, 42.217738, 50.350372, 73.952413, 78.581462
13, 16798, 32.206185, 23.848266, 33.602197, 22.329602, 78.826370, 47.006927
14, 14962, 28.774625, 19.010245, 28.623820, 28.609720, 70.966186, 128.535203
15, 15274, 42.402707, 28.379280, 22.889353, 29.763117, 93.220407, 37.655661
16, 16878, 37.425246, 31.770361, 27.188315, 27.913582, 66.038521, 73.472335
17, 15750, 25.012233, 32.838580, 16.712868, 26.098272, 112.334067, 49.720013
18, 15885, 93.532040, 19.425189, 23.270379, 27.390959, 128.304838, 44.925677
19, 16945, 33.338301, 52.184965, 27.861139, 38.110058, 102.686631, 108.222015
20, 16163, 25.040774, 17.126665, 25.945719, 32.756960, 138.277869, 47.147854
21, 16231, 27.405208, 10.046832, 25.424770, 21.793547, 69.675362, 53.656969
22, 16366, 22.632698, 33.509508, 13.795592, 11.641289, 89.370748, 56.186617
23, 16720, 39.841077, 32.022061, 26.608854, 40.870804, 102.339207, 61.161502
24, 16535, 28.795802, 35.234574, 26.803690, 20.418086, 117.593550, 54.623226
25, 17063, 27.860887, 18.538411, 13.992282, 18.577397, 116.326174, 36.862810
26, 17179, 40.718723, 29.982229, 16.577504, 19.049656, 98.297272, 30.206326
27, 17262, 35.327062, 25.726445, 30.410800, 21.808589, 109.683555, 42.150447
28, 17398, 20.859972, 29.244473, 24.435486, 26.474254, 142.082586, 51.650372
29, 17465, 30.785426, 30.892631, 21.030192, 13.720383, 106.246241, 35.411524
30, 17537, 23.052476, 16.614990, 21.464260, 20.613705, 154.620111, 54.222667
31, 17667, 25.671958, 31.519747, 35.183409, 18.727016, 117.304329, 40.223078
32, 17867, 27.477520, 24.968252, 22.098621, 21.382952, 157.186036, 30.707470
33, 18097, 36.281871, 25.878181, 27.363701, 24.988299, 127.309245, 99.017128
34, 18226, 24.141953, 25.721168, 21.800902, 31.395832, 146.032716, 130.532092
35, 18326, 42.300784, 26.203656, 22.558402, 21.169982, 83.459052, 141.284795
36, 18461, 35.531336, 28.688266, 26.036030, 25.652688, 35.045070, 40.147394
37, 18528, 35.229985, 27.676931, 24.244055, 25.783493, 34.140569, 97.949060
38, 18598, 40.735365, 25.215836, 28.467835, 25.802966, 26.892321, 32.287947
39, 19192, 31.655262, 21.209398, 22.677851, 24.433656, 21.068694, 34.994042
40, 18666, 33.966025, 23.804962, 15.950946, 19.314957, 33.330518, 34.439226
41, 20216, 47.223375, 29.392414, 17.514716, 17.565463, 25.925162, 48.891465
42, 18847, 27.811738, 21.157944, 17.691160, 16.284533, 29.898423, 18.060724
43, 19388, 23.973024, 16.864371, 26.130896, 22.694122, 17.126920, 25.996917
44, 20303, 36.251171, 21.167460, 24.838005, 27.071727, 32.209538, 30.633188
45, 20394, 23.549558, 28.643782, 24.292791, 25.363086, 24.753902, 46.242535
46, 20481, 27.066758, 19.836162, 28.867488, 21.057804, 29.879121, 52.927114
47, 19475, 27.283988, 15.966000, 14.027078, 17.011011, 95.498780, 98.204163
48, 20129, 26.758112, 20.088373, 24.836978, 20.230842, 36.300541, 34.798437
49, 0, , , , , , 
50, 20534, 38.004496, 31.364065, 23.631192, 20.712268, 25.364121, 17.690479
51, 20712, 42.873237, 21.978322, 33.746234, 19.571904, 37.238569, 26.262677
52, 20625, 25.170413, 22.885746, 23.174130, 30.931168, 31.939755, 46.137327
53, 0, , , , , , 
54, 0, , , , , , 
55, 0, , , , , , 
56, 0, , , , , , 
57, 0, , , , , , 
58, 0, , , , , , 
59, 0, , , , , , 
60, 0, , , , , , 
61, 0, , , , , , 
62, 0, , , , , , 
63, 0, , , , , , 
64, 0, , , , , , 