,,,Vop,,,,,,,,,,,,,,,,,,
count,DAQ Channel,Interface Brd #,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10,Sector 11,Sector 12,Sector 13,Sector 14,Sector 15,Sector 16,Sector 17,Sector 18,Sector 19
,,,,,,,,,,,,OK,,,,,,OK,,,
1,0,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
2,1,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
3,2,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
4,3,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
5,4,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
6,5,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
7,6,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
8,7,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
9,8,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.63,68.63
10,9,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.63,68.63
11,10,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.63,68.63
12,11,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.63,68.63
13,12,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
14,13,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
15,14,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
16,15,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
17,16,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
18,17,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
19,18,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
20,19,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
21,20,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
22,21,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
23,22,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
24,23,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
25,24,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
26,25,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
27,26,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
28,27,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
29,28,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
30,29,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
31,30,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
32,31,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
33,32,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
34,33,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
35,34,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
36,35,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.23,69.23,69.23,69.23,68.93,68.93,68.63
37,36,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,68.93,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
38,37,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,68.93,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
39,38,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,68.93,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
40,39,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,68.93,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
41,40,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
42,41,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
43,42,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
44,43,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
45,44,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
46,45,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
47,46,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
48,47,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
49,48,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
50,49,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
51,50,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
52,51,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
53,52,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
54,53,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
55,54,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
56,55,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
57,56,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
58,57,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
59,58,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
60,59,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
61,60,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
62,61,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
63,62,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
64,63,0,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
1,64,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
2,65,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
3,66,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
4,67,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
5,68,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
6,69,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
7,70,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
8,71,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
9,72,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
10,73,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
11,74,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
12,75,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
13,76,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
14,77,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
15,78,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
16,79,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
17,80,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
18,81,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
19,82,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
20,83,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
21,84,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
22,85,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
23,86,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
24,87,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
25,88,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
26,89,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
27,90,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
28,91,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,69.48
29,92,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
30,93,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
31,94,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
32,95,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
33,96,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
34,97,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
35,98,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
36,99,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
37,100,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
38,101,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
39,102,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
40,103,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
41,104,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
42,105,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
43,106,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
44,107,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
45,108,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
46,109,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
47,110,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
48,111,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
49,112,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
50,113,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
51,114,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
52,115,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
53,116,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
54,117,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
55,118,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
56,119,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
57,120,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
58,121,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
59,122,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
60,123,1,68.98,69.33,69.33,69.13,69.13,69.36,69.36,69.36,69.26,69.08,69.08,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
61,124,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.03,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
62,125,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.03,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
63,126,1,68.98,69.33,69.33,69.13,69.13,69.13,69.36,69.36,69.26,69.08,69.03,69.03,69.03,69.23,69.23,69.23,68.93,68.93,68.63
